ProbesetID Column.0 Column.1 Column.2 Column.3 Column.4 Column.5 Column.9 Column.10 Column.11 Column.6 Column.7 Column.8
1367511_at 8.848816 8.591013 8.724508 8.563105 8.616709 8.672144 8.7386465 8.501322 8.703072 8.863468 8.525635 8.611126
1367512_at 11.125765 11.1743965 11.185019 11.128904 11.088718 11.035826 11.105127 11.048006 11.129204 11.086288 11.190027 11.12299
1367513_at 8.566183 8.606195 8.545055 8.42531 8.403187 8.4319935 8.27574 8.458329 8.762777 8.562902 8.730015 8.699319
1367514_at 8.244152 8.309901 7.972639 7.939125 7.9380307 7.757873 8.0128 7.978405 7.9979286 7.879738 8.094101 7.9687037
1367515_at 7.3969393 7.349983 7.614511 7.1250563 7.279764 7.478816 7.031401 7.5791 7.2066655 7.7905107 7.2928553 7.7128544
1367516_at 9.503979 9.419181 9.185372 9.209974 9.472107 9.41873 9.426123 8.843956 9.345269 9.377494 9.186585 9.075875
1367517_at 7.950308 7.8497043 7.7991495 7.6530857 7.795897 7.9177566 7.881197 7.571063 7.759489 7.9769387 7.7646174 7.482544
1367518_at 8.6600895 8.693837 8.480235 8.420041 8.661755 8.527518 8.451007 8.532326 8.550569 8.458408 8.25042 8.310243
1367519_at 8.913561 8.935962 8.807648 8.818342 8.870371 8.719675 8.763144 8.559347 8.769801 8.869948 8.780372 8.7098465
1367520_at 10.426575 10.420209 10.531542 10.479345 10.459719 10.302312 10.406715 10.061572 10.337562 10.459174 10.41769 10.350043
1367521_at 6.611993 7.1222224 6.685364 6.5582676 6.8151655 6.926344 6.363332 6.899944 6.9831696 6.4937215 6.9313693 7.0980964
1367522_at 9.625753 9.493157 9.535012 9.358815 9.447937 9.509151 9.696459 8.981325 9.588224 9.503981 9.463309 9.421462
1367523_at 9.577625 9.444913 9.378766 9.495432 9.441327 9.375612 9.431981 8.774252 9.380441 9.718636 9.488943 9.401034
1367524_at 7.25225 7.0366335 7.414349 7.1398206 7.364297 7.332747 7.2667685 7.503031 7.5366306 7.1297574 7.392979 7.357157
1367525_at 9.410297 9.588104 9.523514 9.4265 9.268427 9.2856865 9.446892 9.32444 9.279552 9.229038 9.398157 9.328535
1367526_at 9.546676 9.417241 9.557123 9.35045 9.579844 9.725539 9.404997 9.344745 9.435755 9.529078 9.555823 9.472126
1367527_at 8.340071 8.113331 8.142998 8.212129 7.9278126 8.2676 8.207797 8.059581 8.025975 8.197097 7.8543158 8.105982
1367528_at 8.855422 9.085231 8.833515 8.783417 8.758176 8.868414 8.947803 8.817663 8.96722 8.735224 9.081623 8.839989
1367529_at 9.171384 9.261481 8.930537 8.808127 9.2509775 9.215138 8.893329 8.892784 9.346635 9.252458 9.152491 8.988084
1367530_at 7.3695955 7.4640813 7.385058 7.438391 7.491018 7.4136724 7.942138 7.9018846 7.458838 7.5188937 7.406051 7.6554966
1367531_at 11.026428 10.895131 10.854767 10.797597 10.842894 10.91889 10.832337 10.774292 10.878522 10.959578 10.891218 10.969191
1367532_at 11.502036 11.516987 11.353816 11.359525 11.463479 11.360951 11.421435 11.282658 11.541123 11.357244 11.274177 11.314184
1367533_at 8.761629 8.711261 8.636787 8.3685 8.747661 8.784728 8.582442 8.351429 8.5640955 8.888772 8.864264 8.695791
1367534_at 7.6399817 7.8354278 7.323472 7.5938673 7.7865744 7.580147 7.4556394 7.5922112 7.670277 7.3032293 7.825815 7.4085345
1367535_at 8.7864895 8.768425 8.932108 9.043423 8.659517 8.773506 8.632435 8.603775 8.72624 8.601349 8.729258 8.62878
1367536_at 8.276516 8.166531 8.177864 8.351521 8.087315 8.35425 8.155175 8.116507 8.282826 8.563208 8.203693 8.420622
1367537_at 7.834261 7.905763 7.6254163 7.4681644 7.838728 7.797831 7.813861 7.697847 7.680097 7.7256517 7.5822377 7.7254543
1367538_at 7.450941 7.579032 7.316967 7.271035 7.344237 7.363191 7.5072837 7.062852 7.3193135 7.150775 7.348472 7.277705
1367539_at 8.539318 8.409815 8.668448 8.397526 8.221252 8.417888 8.66704 8.655841 8.407757 8.554373 8.409462 8.365718
1367540_at 7.861512 8.05905 7.5820074 7.4629626 7.729849 7.691396 7.8369565 7.70209 7.9363775 7.777944 8.150899 7.741432
1367541_at 8.372847 8.347723 8.19938 8.235758 8.458755 8.082569 8.328657 7.5887723 7.709809 8.000913 8.066107 8.049142
1367542_at 7.4381595 7.7584395 7.3242717 7.319842 7.354542 7.402295 7.209865 7.406324 7.4284225 7.4597363 7.2138968 7.2021456
1367543_at 9.039526 9.02636 9.106173 8.932945 9.033659 9.014641 8.945114 8.344242 9.015932 9.064182 8.917334 8.852474
1367544_at 6.770135 6.807473 6.7862377 6.717443 7.049806 6.9667015 6.5896654 6.7783914 6.827694 6.8562684 6.8354607 6.945036
1367545_at 7.374988 7.2095985 7.4119067 7.2518344 7.2990894 7.3998837 7.1310577 7.238631 7.3385477 7.231169 7.3172054 7.4647994
1367546_at 10.739454 10.478308 10.665528 10.613181 10.711078 10.669659 10.600042 10.399042 10.669295 10.576601 10.4284 10.3777485
1367547_at 7.6513343 7.8474336 7.611277 7.439929 7.6339464 7.584873 7.753575 7.740847 7.5449924 7.715408 7.4052787 7.675329
1367548_at 8.509264 8.5042305 8.401558 8.494261 8.67049 8.603806 8.531359 8.205335 8.198591 8.337101 8.504511 8.41832
1367549_a_at 10.52739 10.678728 10.629583 10.694508 10.715771 10.70159 10.729559 10.805748 10.685892 10.782263 10.7515335 10.719471
1367550_a_at 9.281003 8.8223 9.144482 8.79205 9.207858 9.354427 9.132054 8.644386 8.86158 9.221784 8.848455 9.275658
1367551_a_at 9.580181 9.469314 9.468367 9.504427 9.606239 9.542038 9.523241 9.36503 9.505973 9.429076 9.416751 9.478335
1367552_at 4.532204 4.300463 4.3261385 4.635926 4.2299833 4.369564 4.4471307 4.348926 4.657645 4.186055 4.536517 4.6297426
1367553_x_at 12.184334 13.125837 12.905812 12.840727 12.363679 12.555488 12.599489 12.90023 13.29268 13.653496 13.188013 13.021231
1367554_at 4.045585 4.0094843 4.0013323 4.007741 4.1389465 4.043742 4.0806355 3.9891617 3.8776171 3.9023256 4.129528 4.122167
1367555_at 14.947935 14.883321 14.905195 14.888533 14.881575 14.925757 14.900235 14.920452 14.915608 14.896626 14.909477 14.89588
1367556_s_at 14.741942 14.726347 14.738997 14.726881 14.682282 14.754582 14.735074 14.745542 14.76068 14.737998 14.741939 14.735995
1367557_s_at 13.407342 13.418452 13.331913 13.4169235 13.346606 13.416938 13.490976 12.939864 13.422794 13.501437 13.571455 13.475248
1367558_x_at 3.2917597 3.2101607 3.144969 3.5832925 3.350996 3.2294989 3.1557007 3.2623806 3.2341537 3.261077 3.1531372 3.1415174
1367559_at 13.225502 13.064628 13.186471 13.363951 13.180869 13.159282 13.288072 13.111462 13.151826 13.331229 13.320813 13.402523
