ProbesetID V2 V3 V4 V5 V6 V7 V8 V9 V10
1367484_at 8.395305 8.479457 7.8734736 8.564797 8.327358 8.506684 8.641611 8.154725 8.445107
1367485_at 9.318899 9.617505 8.836057 9.316014 9.129729 9.262819 9.359485 9.167195 9.282116
1367486_at 9.672854 9.813849 9.576431 9.768806 9.594263 9.603751 9.6268835 9.615927 9.61886
1367487_at 7.2828474 7.636407 7.280209 7.598959 7.5390224 7.510984 7.674032 7.4110494 7.6394086
1367488_at 7.609888 7.5435286 6.820818 7.6453524 7.3522286 7.5516515 7.7145696 7.3324904 7.517967
1367489_at 6.468047 6.5673184 6.7062874 6.6394854 6.278407 6.314689 6.577451 6.2242627 6.5641875
1367490_at 6.978793 6.7464004 6.546977 6.8243666 6.53841 6.5652285 6.8725576 6.187351 6.6525207
1367491_at 8.761539 8.775402 8.39693 8.7308655 8.785746 8.76862 8.79607 8.6984415 8.625464
1367492_at 8.562668 8.687801 8.260786 8.675436 8.37171 8.505331 8.45669 8.515749 8.418023
1367493_at 9.489038 9.544036 9.020044 9.507834 9.417088 9.540982 9.375265 9.382829 9.466335
1367494_at 9.436205 9.440336 9.041684 9.348805 9.296137 9.387155 9.396372 9.266691 9.317137
1367495_at 6.5819244 6.7813325 6.210863 6.8023033 6.3446145 6.51416 6.7103653 6.4607506 6.2229404
1367496_at 11.04495 11.3087845 10.609953 10.923287 11.035965 11.070672 11.024714 10.904164 11.096964
1367497_at 7.868579 8.237615 7.7503123 8.153486 8.096645 8.240211 8.26419 8.134013 8.044563
1367498_at 8.171221 8.61725 8.02133 8.276845 7.880876 8.086321 8.27541 7.9727745 8.423592
1367499_at 7.8574114 8.272587 8.057959 8.023869 8.00086 8.024256 8.063894 8.019648 7.954311
1367500_at 9.709845 9.88299 9.104586 9.685282 9.399973 9.673852 9.833091 9.347794 9.545766
1367501_at 8.023123 8.23003 8.102754 8.264342 8.09871 8.173474 8.091718 7.9675174 8.163137
1367502_at 7.693694 7.8724384 7.1803465 7.8719587 7.723035 7.5563416 7.5290556 7.564231 7.6336956
1367503_at 10.430648 10.513858 10.384198 10.533192 10.438549 10.43517 10.363199 10.297652 10.57336
1367504_at 7.713613 7.81781 7.5064063 7.994123 7.7408915 7.9594493 7.879029 7.6482673 7.75632
1367505_at 7.817304 7.8440294 7.6051817 7.6718926 7.866905 7.9493327 7.957118 7.6449018 7.6953897
1367506_at 9.5449095 9.48203 9.175019 9.351398 9.295376 9.447042 9.278858 9.306447 9.133194
1367507_at 6.782301 6.763013 6.4081116 6.7779717 6.717356 6.8715243 6.7598515 6.4207926 6.8689384
1367508_at 8.395305 8.307867 7.961543 8.263971 8.246229 8.266381 8.251822 8.064098 8.112479
1367509_at 8.991454 9.236379 8.514261 9.164122 8.84347 9.23804 9.119161 8.95746 9.021391
1367510_at 9.157272 9.319346 8.696717 9.18035 9.167687 9.297561 9.272256 9.067413 9.215501
1367511_at 7.9438744 8.397657 7.729609 8.049432 8.112433 8.108034 8.138729 7.975603 8.241365
